date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"9/10/11","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",73,"Teal Bunbury","Jí?lio Cí©sar","",0,0
"9/14/11","Columbus Crew","Houston Dynamo","Columbus Crew","Columbus Crew","FALSE",76,"Andres Mendoza","","",0,0
"5/7/11","Toronto FC","Houston Dynamo","Toronto FC","Toronto FC","FALSE",81,"Maicon Santos","Nick Soolsma","Joao Plata",0,0
"6/25/11","D.C. United","Houston Dynamo","D.C. United","D.C. United","FALSE",73,"Charlie Davies","","",0,0
"5/7/11","Toronto FC","Houston Dynamo","Toronto FC","Toronto FC","FALSE",50,"Joao Plata","","",0,0
"9/14/11","Columbus Crew","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",34,"Je-Vaughn Watson","Adam Moffat","Jermaine Taylor",0,0
"7/23/11","Chivas USA","Houston Dynamo","Chivas USA","Chivas USA","FALSE",86,"Justin Braun","Francisco Mendoza","Ante Jazic",0,0
"8/27/11","Vancouver Whitecaps","Houston Dynamo","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",86,"Shea Salinas","Long Tan","",0,0
"6/4/11","San Jose Earthquakes","Houston Dynamo","San Jose Earthquakes","San Jose Earthquakes","FALSE",69,"Steven Lenhart","Steven Beitashour","",0,0
"9/24/11","FC Dallas","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",87,"Geoff Cameron","Brad Davis","",0,0
"5/25/11","LA Galaxy","Houston Dynamo","LA Galaxy","LA Galaxy","FALSE",46,"Landon Donovan","","",0,1
"6/25/11","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",41,"Brad Davis","","",0,0
"8/17/11","New England Revolution","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",90,"Bobby Boswell","","",0,0
"6/25/11","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",89,"Brian Ching","Geoff Cameron","Colin Clark",0,0
"10/14/11","Portland Timbers","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",59,"Danny Cruz","Luiz Camargo","",0,0
"9/10/11","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",9,"Teal Bunbury","Graham Zusi","",0,0
"5/7/11","Toronto FC","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",87,"Lovel Palmer","Je-Vaughn Watson","",0,0
"8/6/11","Philadelphia Union","Houston Dynamo","Philadelphia Union","Philadelphia Union","FALSE",15,"Jack McInerney","Sí©bastien Le Toux","",0,0
"4/23/11","Chicago Fire","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",83,"Bobby Boswell","Brad Davis","",0,0
"10/14/11","Portland Timbers","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",36,"Andre Hainault","Brad Davis","",0,0
"6/25/11","D.C. United","Houston Dynamo","D.C. United","D.C. United","FALSE",31,"Chris Pontius","Dax McCarty","Josh Wolff",0,0
"9/10/11","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",79,"C.J. Sapong","Graham Zusi","Kei Kamara",0,0
"4/2/11","New York Red Bulls","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",50,"Cam Weaver","Tally Hall","Will Bruin",0,0
"4/28/12","D.C. United","Houston Dynamo","D.C. United","D.C. United","FALSE",54,"Dwayne De Rosario","Daniel Woolard","",0,0
"3/17/12","San Jose Earthquakes","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",14,"Brad Davis","","",0,0
"4/21/12","Columbus Crew","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",59,"Will Bruin","Adam Moffat","",0,0
